2024-05-23 22:20:51 eoracle-data-validator  | Starting data-validator 
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.591Z info: stopping ethereum feed
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.591Z info: Feed ethereum stopped
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.593Z info: Starting ethereum feed
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.594Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.594Z info: Finished initializing ethereum feed
2024-05-23 22:21:42 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.656Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.657Z info: restarting ethereum feed
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.657Z info: stopping ethereum feed
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.658Z info: Feed ethereum stopped
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.661Z info: Starting ethereum feed
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.661Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.662Z info: Finished initializing ethereum feed
2024-05-23 22:21:42 eoracle-data-validator  | node:internal/process/promises:288
2024-05-23 22:21:42 eoracle-data-validator  |             triggerUncaughtException(err, true /* fromPromise */);
2024-05-23 22:21:42 eoracle-data-validator  |             ^
2024-05-23 22:21:42 eoracle-data-validator  | 
2024-05-23 22:21:42 eoracle-data-validator  | Error: Feed ethereum already started
2024-05-23 22:21:42 eoracle-data-validator  |     at EthereumDataFeed.start (/snapshot/eoracle/dist/src/feeds/eth-base.js)
2024-05-23 22:21:42 eoracle-data-validator  |     at EthereumDataFeed.restart (/snapshot/eoracle/dist/src/feeds/eth-base.js)
2024-05-23 22:21:42 eoracle-data-validator  | 
2024-05-23 22:21:42 eoracle-data-validator  | Node.js v18.5.0
2024-05-23 22:21:43 eoracle-data-validator  | Starting data-validator 
2024-05-23 22:21:45 eoracle-data-validator  | <1> 2024-05-23T16:51:45.875Z info: Retriveing Eoracle configuration from EOConfig contract
